TIMESTAMP,P_kpa,AirTC_Avg,RelHum_per,SlrkW_m2_Avg_up,SlrkW_m2_Avg_down,tSlrkW_m2_net,WS_ms_Avg
8/11/2019 15:00,100,7.146,92.5,0.007,0.025,0.018,9.25
8/11/2019 16:00,100,6.783,98,0.005,0.018,0.013,8.93
8/11/2019 17:00,100.1,6.614,97.7,0.006,0.022,0.016,8.32
8/11/2019 18:00,100.1,6.614,98.3,0.004,0.017,0.013,7.856
8/11/2019 17:00,100.1,6.414,99,0.004,0.017,0.013,8.01
8/11/2019 18:00,100.2,5.663,99.3,0.005,0.019,0.014,6.995
8/11/2019 19:00,100.2,5.545,99.3,0.005,0.022,0.017,6.11
8/11/2019 20:00,100.2,5.399,99.4,0.005,0.02,0.015,5.409
8/11/2019 21:00,100.2,4.962,99.3,0.002,0.006,0.004,4.248
8/11/2019 22:00,100.3,4.898,99.3,0.001,0.002,0.001,3.805
8/11/2019 23:00,100.3,4.796,99.3,0,0,0,2.878
8/12/2019 0:00,100.3,4.119,99.3,0,0,0,0.841
8/12/2019 1:00,100.3,3.993,99.3,0,0,0,0.273
8/12/2019 2:00,100.3,4.246,99.3,0,0,0,0.287
8/12/2019 3:00,100.3,4.586,99.3,0,0,0,0.864
8/12/2019 4:00,100.3,4.804,99.3,0,0,0,0.678
8/12/2019 5:00,100.2,4.686,99.3,0.001,0.002,0.001,0.512
8/12/2019 6:00,100.2,5.09,99.3,0.002,0.009,0.007,0.484
8/12/2019 7:00,100.2,5.787,99.3,0.005,0.02,0.015,0.335
8/12/2019 8:00,100.1,6.454,99.3,0.017,0.07,0.053,0.355
8/12/2019 9:00,100.1,6.565,98.6,0.038,0.153,0.115,1.756
8/12/2019 10:00,100,7.596,96.8,0.058,0.231,0.173,1.658
8/12/2019 11:00,100,7.966,93.2,0.052,0.21,0.158,2.486
8/12/2019 12:00,99.9,9.47,88.3,0.1,0.393,0.293,2.444
8/12/2019 13:00,99.8,10.81,85.2,0.095,0.37,0.275,2.172
8/12/2019 14:00,99.8,11.7,79.47,0.073,0.274,0.201,2.016
8/12/2019 15:00,99.7,12.93,77.47,0.08,0.302,0.222,1.748
8/12/2019 16:00,99.6,13.73,73.61,0.075,0.278,0.203,1.196
8/12/2019 17:00,99.6,13.85,72.97,0.049,0.182,0.133,1.046
8/12/2019 18:00,99.5,13.61,73.16,0.039,0.138,0.099,1.81
8/12/2019 19:00,99.4,13.24,80.8,0.031,0.11,0.079,2.04
8/12/2019 20:00,99.3,12.33,87.7,0.019,0.066,0.047,1.703
8/12/2019 21:00,99.2,11.42,86.2,0.006,0.021,0.015,1.381
8/12/2019 22:00,99.1,10.58,96.7,0.002,0.005,0.003,1.171
8/12/2019 23:00,99.1,9.94,92.1,0,0.001,0.001,0.948
8/13/2019 0:00,99,10.7,94.3,0,0,0,2.064
8/13/2019 1:00,99,10.42,96.6,0,0,0,2.115
8/13/2019 2:00,98.9,10.23,97.4,0,0,0,1.612
8/13/2019 3:00,98.9,10.12,98.4,0,0,0,1.851
8/13/2019 4:00,98.8,10.2,96.6,0,0.001,0.001,1.437
8/13/2019 5:00,98.9,10.22,95.7,0.002,0.005,0.003,2.503
8/13/2019 6:00,98.9,10.77,94.7,0.007,0.027,0.02,2.757
8/13/2019 7:00,98.9,11.71,94.5,0.017,0.059,0.042,2.476
8/13/2019 8:00,98.9,12.09,95.1,0.025,0.087,0.062,3.313
8/13/2019 9:00,98.9,12.86,94,0.042,0.145,0.103,4.114
8/13/2019 10:00,98.9,13.59,91.7,0.054,0.189,0.135,4.448
8/13/2019 11:00,99,14.16,90,0.058,0.207,0.149,4.642
8/13/2019 12:00,98.9,15.01,85.3,0.078,0.279,0.201,4.987
8/13/2019 13:00,98.9,15.34,83,0.067,0.246,0.179,4.652
8/13/2019 14:00,98.9,15.86,85.2,0.057,0.209,0.152,4.571
8/13/2019 15:00,98.9,15.11,91,0.036,0.131,0.095,3.005
8/13/2019 16:00,98.9,14.77,91.4,0.045,0.161,0.116,2.113
8/13/2019 17:00,98.8,14.79,94.8,0.025,0.092,0.067,1.237
8/13/2019 18:00,98.9,14.19,98.4,0.009,0.033,0.024,0.656
8/13/2019 19:00,98.9,13.41,98.3,0.003,0.014,0.011,1.564
8/13/2019 20:00,99,12.63,97.4,0.004,0.016,0.012,6.121
8/13/2019 21:00,99,11.65,98.3,0.002,0.008,0.006,5.44
8/13/2019 22:00,99.1,11.45,95.6,0.001,0.005,0.004,5.817
8/13/2019 23:00,99.2,11.22,95.7,0,0.001,0.001,6.868
8/14/2019 0:00,99.3,10.87,92.6,0,0,0,5.701
8/14/2019 1:00,99.3,10.85,90.4,0,0,0,5.69
8/14/2019 2:00,99.3,10.74,94.7,0,0,0,6.137
8/14/2019 3:00,99.4,10.88,95.2,0,0,0,6.352
8/14/2019 4:00,99.4,10.76,96.4,0,0.001,0.001,6.863
8/14/2019 5:00,99.5,10.5,94.7,0.002,0.008,0.006,7.329
8/14/2019 6:00,99.5,10.41,97,0.005,0.017,0.012,5.684
8/14/2019 7:00,99.5,10.51,99,0.005,0.018,0.013,6.254
8/14/2019 8:00,99.5,10.14,98.6,0.005,0.021,0.016,5.115
