,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
0,0,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
1,10800,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
2,21600,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
3,32400,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
4,43200,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
5,54000,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
6,64800,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
7,75600,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
8,86400,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-23.09,0.0,0.7912,98800.0,-23.09,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
9,97200,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-21.08,0.0,0.802,98800.0,-21.08,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
10,108000,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-20.3,0.0,0.8079999999999999,98600.0,-20.3,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
11,118800,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-19.97,0.0,0.8109999999999999,98500.0,-19.97,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
12,129600,0.0,0.0,0.0,151,274,14,0.5,0.5,195.2548,0.0,-19.75,0.0,0.812,98300.0,-19.75,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
13,140400,0.0,0.0,0.0,151,274,14,0.5,0.5,196.343425,0.0,-19.71,0.0,0.813,98100.0,-19.71,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
14,151200,0.0,0.0,0.0,151,274,14,0.5,0.5,197.43205,0.0,-20.75,0.0,0.802,98000.0,-20.75,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
15,162000,0.0,0.0,0.0,151,274,14,0.5,0.5,198.52067499999998,0.0,-21.37,0.0,0.7993000000000001,97800.0,-21.37,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
16,172800,0.0,0.0,0.0,151,274,14,0.5,0.5,199.6093,0.0,-21.55,0.0,0.7974,97800.0,-21.55,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
17,183600,0.0,0.0,0.0,151,274,14,0.5,0.5,200.697925,0.0,-21.37,0.0,0.7989,97700.0,-21.37,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
18,194400,0.0,0.0,0.0,151,274,14,0.5,0.5,201.78654999999998,0.0,-21.11,0.0,0.8009999999999999,97600.0,-21.11,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
19,205200,0.0,0.0,0.0,151,274,14,0.5,0.5,202.87517499999998,0.0,-20.92,0.0,0.802,97700.0,-20.92,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
20,216000,0.0,0.0,0.0,151,274,14,0.5,0.5,203.9638,0.0,-20.91,0.0,0.8029999999999999,97800.0,-20.91,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
21,226800,0.0,0.0,0.0,151,274,14,0.5,0.5,203.1944375,0.0,-20.51,0.0,0.8059999999999999,97800.0,-20.51,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
22,237600,0.0,0.0,0.0,151,274,14,0.5,0.5,202.425075,0.0,-19.94,0.0,0.8109999999999999,97900.0,-19.94,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
23,248400,0.0,0.0,0.0,151,274,14,0.5,0.5,201.6557125,0.0,-20.29,0.0,0.807,98000.0,-20.29,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
24,259200,0.0,0.0,0.0,151,274,14,0.5,0.5,200.88635,0.0,-20.01,0.0,0.81,98000.0,-20.01,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
25,270000,0.0,0.0,0.0,151,274,14,0.5,0.5,200.1169875,0.0,-20.06,0.0,0.8109999999999999,98200.0,-20.06,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
26,280800,0.0,0.0,0.0,151,274,14,0.5,0.5,199.347625,0.0,-19.76,0.0,0.8109999999999999,98200.0,-19.76,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
27,291600,0.0,0.0,0.0,151,274,14,0.5,0.5,198.5782625,0.0,-20.5,0.0,0.8059999999999999,98300.0,-20.5,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
28,302400,0.0,0.0,0.0,151,274,14,0.5,0.5,197.8089,1.0,-20.65,0.0,0.8029999999999999,98500.0,-20.65,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
29,313200,0.0,0.0,0.0,151,274,14,0.5,0.5,197.0371875,0.0,-19.68,0.0,0.8109999999999999,98600.0,-19.68,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
30,324000,0.0,0.0,0.0,151,274,14,0.5,0.5,196.26547499999998,0.0,-19.76,0.0,0.8109999999999999,98700.0,-19.76,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
31,334800,0.0,0.0,0.0,151,274,14,0.5,0.5,195.4937625,0.0,-18.68,0.0,0.8270000000000001,98700.0,-18.68,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
32,345600,0.0,0.0,0.0,151,274,14,0.5,0.5,194.72205,0.0,-17.28,0.0,0.8390000000000001,98800.0,-17.28,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
33,356400,0.0,0.0,0.0,151,274,14,0.5,0.5,193.9503375,0.0,-16.0,0.0,0.861,98900.0,-16.0,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
